Hypocenter Depth (km),Magnitude,Rrup_OpenQuake,Soil_Class,Tmax,origen,Seismic Latitude,Seismic Longitude,Station Latitude,Station Longitude,T_0.01_RotD50
7.856,3.9,3.677059877308594,3,1.509433962264151,NGAW2,37.7568,-121.9477,37.5419,-122.3047,-6.379028835209563
7.856,3.9,2.6741486494265287,3,1.2307692307692308,NGAW2,37.7568,-121.9477,37.66,-121.873,-5.398908164306106
7.856,3.9,3.050220458838061,4,3.3333333333333335,NGAW2,37.7568,-121.9477,37.68,-121.739,-6.397502018985041
7.856,3.9,3.721104601408673,4,2.0,NGAW2,37.7568,-121.9477,37.5909,-122.3674,-5.2903589191683436
7.856,3.9,3.7314599016490546,4,1.1764705882352942,NGAW2,37.7568,-121.9477,37.3942,-122.0604,-7.7061096536209295
7.856,3.9,3.093312601892855,4,2.0,NGAW2,37.7568,-121.9477,37.5927,-122.0745,-6.064234399558724
7.856,3.9,3.0301337002713233,3,2.3529411764705883,NGAW2,37.7568,-121.9477,37.7174,-121.727,-6.894710730261342
7.856,3.9,3.747384183486499,3,2.7586206896551726,NGAW2,37.7568,-121.9477,38.0345,-122.2702,-7.1555745367796275
7.856,3.9,3.1688448912626357,3,4.705882352941177,NGAW2,37.7568,-121.9477,37.954,-121.8655,-7.806608924344882
7.856,3.9,3.3727979071404572,3,2.962962962962963,NGAW2,37.7568,-121.9477,37.8762,-122.2356,-7.497817130158757
7.856,3.9,3.269568939183719,3,3.8095238095238093,NGAW2,37.7568,-121.9477,37.9188,-122.1518,-6.857492865770044
7.856,3.9,3.432372999130605,3,4.0,NGAW2,37.7568,-121.9477,37.8735,-122.261,-7.003498852688033
7.856,3.9,3.6136169696133895,3,1.702127659574468,NGAW2,37.7568,-121.9477,37.4504,-121.8004,-7.973779378057095
7.856,3.9,3.0791538816930633,3,2.6666666666666665,NGAW2,37.7568,-121.9477,37.7477,-121.7084,-5.439118318506759
7.856,3.9,2.5152741864043966,3,2.4242424242424243,NGAW2,37.7568,-121.9477,37.7294,-121.8335,-5.033461286157203
7.856,3.9,2.6390573296152584,3,6.666666666666667,NGAW2,37.7568,-121.9477,37.8588,-121.9926,-4.971626526478766
7.856,3.9,2.930660276810276,2,1.2903225806451613,NGAW2,37.7568,-121.9477,37.9123,-121.9072,-5.8160625419552945
7.856,3.9,3.4452142670789296,3,2.2857142857142856,NGAW2,37.7568,-121.9477,38.0269,-122.016,-6.727904271483431
7.856,3.9,3.1531632815028194,3,4.705882352941177,NGAW2,37.7568,-121.9477,37.6221,-121.757,-7.215857769523538
5.49,3.96,3.1986731175506815,3,1.7391304347826089,NGAW2,38.2387,-122.1711,38.0345,-122.2702,-7.0049745799992085
5.49,3.96,3.2634667081960758,3,2.4242424242424243,NGAW2,38.2387,-122.1711,38.2903,-122.4613,-6.290062515087169
5.49,3.96,3.6615082573178044,3,2.6666666666666665,NGAW2,38.2387,-122.1711,37.9422,-121.9305,-7.172889476173664
5.49,3.96,3.52459425980608,3,1.5686274509803924,NGAW2,38.2387,-122.1711,38.3674,-122.524,-6.5193156181071235
5.49,3.96,3.7191661467188086,3,10.0,NGAW2,38.2387,-122.1711,37.954,-121.8655,-7.398119995433763
5.49,3.96,3.7042605561522386,3,1.1594202898550725,NGAW2,38.2387,-122.1711,37.8762,-122.2356,-8.361878903129679
5.49,3.96,3.5698143469549963,3,5.0,NGAW2,38.2387,-122.1711,37.9188,-122.1518,-8.338034966016808
5.49,3.96,3.720862499966987,3,7.2727272727272725,NGAW2,38.2387,-122.1711,37.8735,-122.261,-8.341489316590593
5.49,3.96,3.335413641116152,3,2.5,NGAW2,38.2387,-122.1711,37.9889,-122.2156,-6.906910635793648
5.49,3.96,3.649358695951653,2,1.3559322033898304,NGAW2,38.2387,-122.1711,37.9491,-122.4085,-7.518497006888589
5.49,3.96,3.2991646560970036,3,3.4782608695652177,NGAW2,38.2387,-122.1711,38.0269,-122.016,-5.652901925436219
5.49,3.96,3.3243163373261977,2,3.2,NGAW2,38.2387,-122.1711,38.3453,-122.4584,-6.320454287555845
5.49,3.96,3.1518809560439225,2,2.162162162162162,NGAW2,38.2387,-122.1711,38.4395,-122.2527,-6.335001600884127
5.49,3.96,3.5109482456212744,2,3.2,NGAW2,38.2387,-122.1711,38.2602,-122.5518,-6.541270113014921
5.49,3.96,3.627801604605346,2,1.2121212121212122,NGAW2,38.2387,-122.1711,38.002,-122.4747,-7.2287032431152625
5.49,3.96,3.627801604605346,2,0.8333333333333334,NGAW2,38.2387,-122.1711,38.0496,-122.5233,-6.343274771576928
5.49,3.96,3.506457892319648,3,3.6363636363636362,NGAW2,38.2387,-122.1711,38.1549,-121.8044,-6.598654239157056
5.49,3.96,2.5974910105351463,2,1.9512195121951221,NGAW2,38.2387,-122.1711,38.1228,-122.1492,-4.988031006881677
5.49,3.96,2.9932291433358724,2,2.962962962962963,NGAW2,38.2387,-122.1711,38.076,-122.2585,-5.173040171274714
5.49,3.96,3.6256733782101436,2,2.2222222222222223,NGAW2,38.2387,-122.1711,38.3488,-122.578,-7.1434029317475805
5.49,3.96,3.2714682749873716,2,1.509433962264151,NGAW2,38.2387,-122.1711,38.2003,-122.4644,-6.014543222795461
5.49,3.96,3.2973172511747633,3,2.4242424242424243,NGAW2,38.2387,-122.1711,38.1436,-122.4497,-7.214598424569985
5.49,3.96,3.655839600035736,4,1.4285714285714286,NGAW2,38.2387,-122.1711,37.9161,-122.3361,-7.343645059088892
11.872,3.9,2.642622395779755,3,2.857142857142857,NGAW2,37.5893,-118.8176,37.6444,-118.8968,-2.958728631672543
11.872,3.9,2.955430976780465,3,2.4242424242424243,NGAW2,37.5893,-118.8176,37.6591,-118.9791,-3.9084708219089084
11.872,3.9,2.522523513359307,3,1.7777777777777777,NGAW2,37.5893,-118.8176,37.5696,-118.7528,-4.9644930611759035
11.872,3.9,2.418588768750352,3,2.857142857142857,NGAW2,37.5893,-118.8176,37.614,-118.831,-3.1279990946576524
11.872,3.9,2.8627721462977607,3,2.6666666666666665,NGAW2,37.5893,-118.8176,37.643,-118.962,-3.556842928246187
11.872,3.9,2.5664866367804233,3,1.1111111111111112,NGAW2,37.5893,-118.8176,37.5733,-118.739,-3.8759784848846595
11.872,3.9,2.703372611551099,3,2.7586206896551726,NGAW2,37.5893,-118.8176,37.588,-118.703,-3.0367290750187563
11.554,3.7,3.4262151446374434,4,1.1267605633802817,NGAW2,37.8077,-122.0707,37.7774,-122.3969,-7.134630785386025
11.554,3.7,3.686626919060642,3,1.8181818181818181,NGAW2,37.8077,-122.0707,37.762,-122.505,-7.036406029910126
11.554,3.7,3.627801604605346,3,1.6666666666666667,NGAW2,37.8077,-122.0707,37.5419,-122.3047,-5.929921006450349
11.554,3.7,3.7017956793804827,3,2.2222222222222223,NGAW2,37.8077,-122.0707,37.6793,-122.4841,-5.183110980938437
11.554,3.7,3.475067230228611,3,1.8181818181818181,NGAW2,37.8077,-122.0707,38.0345,-122.2702,-6.879898895907905
11.554,3.7,3.5544905510752844,3,1.25,NGAW2,37.8077,-122.0707,37.7163,-122.4312,-5.033589589685465
11.554,3.7,3.1018924693823817,4,1.9512195121951221,NGAW2,37.8077,-122.0707,37.8108,-122.2925,-6.805350326701945
11.554,3.7,3.0473755067058295,3,2.2857142857142856,NGAW2,37.8077,-122.0707,37.8251,-122.2761,-6.790491489221685
11.554,3.7,3.586292865338835,3,1.2903225806451613,NGAW2,37.8077,-122.0707,37.7242,-122.4484,-6.543173278372699
11.554,3.7,3.1346242724206097,3,1.8604651162790697,NGAW2,37.8077,-122.0707,37.8606,-122.2933,-6.78074208372486
11.554,3.7,2.995232148512309,3,2.3529411764705883,NGAW2,37.8077,-122.0707,37.8584,-122.2525,-5.782497813673425
11.554,3.7,2.94706710157271,4,3.8095238095238093,NGAW2,37.8077,-122.0707,37.6917,-122.1698,-4.211424819884798
11.554,3.7,3.4081729953985804,4,1.9512195121951221,NGAW2,37.8077,-122.0707,37.6887,-121.7835,-6.447048481666513
